etf_code,liquidity_score,risk_score,return_score,premium_score,sentiment_score,total_score,timestamp
sh.512480,100.0,61.79208642041752,100.0,50,50,75.44802160510437,2025-08-21 05:50:01
sz.159915,100.0,54.084798068526105,100.0,50,50,73.52119951713152,2025-08-21 05:49:25
sh.510300,100.0,76.94629058857,73.55473554735534,50,50,72.62525653398133,2025-08-21 05:49:25
sz.159995,66.67950008298756,61.73607722983142,100.0,50,50,68.76991932405537,2025-08-21 05:50:01
sh.512660,58.77698406639004,66.33446056287792,100.0,50,50,68.3390119539975,2025-08-21 05:50:01
sh.512980,18.977653070539418,65.05307923475625,84.2824601366742,50,50,56.1294154569655,2025-08-21 05:50:01
sh.510300,100.0,76.94629058857,73.55473554735534,50,50,72.62525653398133,2025-08-21 05:49:25
sz.159825,11.047963402489627,75.4640298827386,50.477489768076445,50,50,48.69497259320169,2025-08-21 05:50:01
sh.510050,92.80662510373443,79.75710438639513,40.937718684394675,50,50,63.735030788444334,2025-08-21 05:49:25
sh.512888,54.907794,85.46338435041503,0.0,50,50,47.34740488760376,2025-08-21 05:50:01
